Sid,Name,Type
207,Rotten Jewel,Barque
208,Ghosttide,Brigantine
209,Drowned Dreamer,Galleon
210,The Rusted Saber,Brigantine
211,Serpent’s Bane,Frigate
212,Blackwater Wraith,Sloop
213,Voodoo Pearl,Sloop
214,Shattered Fortune,Frigate
215,Death Shark,Sloop
216,Seafoam Marauder,Barque
217,Salted Doom,Galleon
218,Siren’s Teeth,Barque
219,The Hollow Cross,Sloop
220,Stormborn Revenant,Sloop
221,Black Reef Raider,Barque
222,Cursed Skull,Galleon
223,Devil’s Mistress,Brigantine
224,Thundertide,Brigantine
225,Gallows Anchor,Frigate
226,Kraken’s Wrath,Galleon
227,Rottentide Raider,Barque
228,The Whispering Skull,Barque
229,The Howling Gale,Galleon
230,Pale Leviathan,Barque
231,Forsaken Spirit,Brigantine
232,Bloodmoon Brig,Sloop
233,Darkmoon Marauder,Galleon
234,Shattered Fortune,Galleon
235,Thunder Serpent,Frigate
236,Bloodwhale,Galleon
237,Frostbite Raider,Barque
238,Death Shark,Barque
239,Cracked Skull,Sloop
240,Silentbone,Galleon
241,The Hollow Cross,Barque
242,Hollow Warden,Sloop
243,Darkmoon Marauder,Brigantine
244,Coral Reaper,Galleon
245,Iron Keel,Barque
246,Broken Wing,Sloop
247,Riptide Raider,Frigate
248,Salted Doom,Barque
249,Abysswalker,Frigate
250,The Sunken Star,Frigate
251,Dragon's Maw,Galleon
252,Abysswalker,Barque
253,The Sable Tempest,Brigantine
254,Pale Lantern,Galleon
255,Darkmoon Marauder,Galleon
256,The Scourge,Barque
257,Bleeding Compass,Galleon
258,Blackblood Mariner,Frigate
259,The Siren’s Blight,Frigate
260,Darkmoon Marauder,Galleon
261,The Gallows Ghost,Barque
262,Grimdrift,Sloop
263,Siren’s Teeth,Frigate
264,Wretched Corsair,Brigantine
265,Cursed Skull,Brigantine
266,Shipbreaker’s Promise,Frigate
267,Devil’s Crest,Barque
268,Pale Shark,Brigantine
269,Dragon's Maw,Sloop
270,Night's Embrace,Galleon
271,Bloodwhale,Barque
272,Frostshadow,Frigate
273,Rustscale Raider,Barque
274,Shadebreaker,Brigantine
275,Pale Shark,Brigantine
276,Broken Trident,Sloop
277,Bloodgale,Brigantine
278,The Ashen Star,Sloop
279,Bloodwake Marauder,Barque
280,The Ashen Revenant,Brigantine
281,Iron Marlin,Brigantine
282,Salted Doom,Galleon
283,The Sable Tempest,Galleon
284,Darkmoon Marauder,Sloop
285,Bleeding Compass,Barque
286,Phantom’s Wake,Galleon
287,Tidemourn,Frigate
288,Shadebreaker,Frigate
289,Starlit Marauder,Frigate
290,Rustfang,Frigate
291,Hollow Star,Barque
292,Bloodgale,Frigate
293,Silent Revenant,Brigantine
294,Cursed Riptide,Galleon
295,Ebon Mariner,Barque
296,The Shattered Wave,Brigantine
297,Specter’s Wake,Barque
298,Deepstar Marauder,Barque
299,Blightfin,Frigate
300,Bitter Current,Sloop
301,Deadcurrent,Brigantine
302,Bloodmoon Brig,Galleon
303,Broken Lantern,Galleon
304,The Gallows Ghost,Sloop
305,Kraken’s Wrath,Galleon
306,Abyssal Fang,Frigate
307,Thundercaller,Sloop
308,Death Shark,Barque
309,Red Warden,Sloop
310,Siren’s Vengeance,Sloop
311,Boneharbor Brig,Sloop
312,Pale Blade,Galleon
313,The Grim Albatross,Barque
314,Rotten Jewel,Frigate
315,Stormchaser,Brigantine
316,The Rusted Saber,Sloop
317,Midnight Crown,Sloop
318,Saltscourge,Barque
319,The Whispering Skull,Galleon
320,The Silent Dagger,Frigate
321,Dragon's Maw,Brigantine
322,Nightshade’s Fury,Brigantine
323,Seabane Corsair,Galleon
324,Gravewake,Barque
325,Forsaken Spirit,Barque
326,The Whispering Skull,Barque
327,Bloodsail Raider,Brigantine
328,Blight of the Deep,Galleon
329,Hollow Star,Brigantine
330,Shipbreaker’s Promise,Frigate
331,Iron Marlin,Barque
332,Frost Siren,Brigantine
333,Bloodsail Raider,Frigate
334,Wretched Corsair,Galleon
335,Marrow's End,Barque
336,Marrow's End,Barque
337,Saltblood,Barque
338,Rotfin Corsair,Frigate
339,Phantom’s Wake,Barque
340,Rustfang,Frigate
341,Broken Marlin,Brigantine
342,The Ashen Mistress,Barque
343,Boneharbor Brig,Brigantine
344,Wretched Serpent,Barque
345,Tidemourn,Barque
346,Iron Marlin,Galleon
347,Nightshade’s Fury,Barque
348,Iron Marlin,Sloop
349,Bonegale,Sloop
350,Bonegale,Frigate
351,Gravewake,Galleon
352,Twisted Compass,Barque
353,Crimsontide Raider,Barque
354,Deadwave Brig,Barque
355,Ironfang Warden,Sloop
356,Thunder Serpent,Brigantine
357,Ironfang Warden,Frigate
358,Siren’s Teeth,Barque
359,Stormbreaker,Sloop
360,Deepstar Marauder,Brigantine
361,Scourgewind,Sloop
362,Sea Wolf,Brigantine
363,Sea Phantom,Frigate
364,Deadstar Corsair,Barque
365,Ironfang Warden,Galleon
366,Brinewolf,Brigantine
367,Saltdrinker,Sloop
368,Gravecurrent,Brigantine
369,Sunken Fury,Frigate
370,Cinderwake,Brigantine
371,Deadwave Brig,Sloop
372,Coral Crown,Sloop
373,Deadwave Brig,Brigantine
374,Leviathan’s Grave,Sloop
375,The Ashen Mistress,Galleon
376,Tidemourn,Frigate
377,Widow’s Fang,Barque
378,Darkwater Serpent,Galleon
379,The Shrieking Siren,Brigantine
380,The Duskwind,Frigate
381,Bloodsail Raider,Barque
382,Silverfin,Sloop
383,Shattered Fortune,Brigantine
384,Sunken Eclipse,Galleon
385,Scourgewind,Frigate
386,The Whispering Skull,Galleon
387,Dragon's Maw,Barque
388,The Sinking Specter,Galleon
389,Frost Siren,Frigate
390,Maelstrom’s Curse,Galleon
391,Black Sail’s Oath,Galleon
392,Twisted Compass,Galleon
393,Deathcurrent,Sloop
394,Saltscourge,Sloop
395,The Ashen Revenant,Brigantine
396,Sunken Sabers,Barque
397,Cursed Drake,Sloop
398,The Bleeding Tide,Brigantine
399,Thunder Serpent,Frigate
400,Saltscourge,Barque
401,Bloodmoon Brig,Brigantine
402,Forsaken Spirit,Brigantine
403,Phantom’s Wake,Sloop
404,Dead Man’s Fancy,Frigate
405,Boneharbor Brig,Galleon
406,Kraken's Doom,Barque
407,Shadeclaw Raider,Sloop
408,The Crimson Reaper,Brigantine
409,Darkwater Serpent,Brigantine
410,Stormchaser,Brigantine
411,Dead Man’s Fancy,Frigate
412,Cursed Skull,Barque
413,Grimward,Brigantine
414,Bloodharbor,Brigantine
415,Deadcurrent,Brigantine
416,Iron Keel,Sloop
417,Red Leviathan,Galleon
418,Bloodmoon Brig,Brigantine
419,The Scarlet Sinker,Galleon
420,Shadebreaker,Brigantine
421,Sea Wolf,Frigate
422,Sea Phantom,Frigate
423,Bloodgale,Brigantine
424,Gravecurrent,Barque
425,The Shrieking Siren,Barque
426,Rotten Jewel,Sloop
427,The Sinking Specter,Brigantine
428,Deadwave Brig,Sloop
429,Bleeding Compass,Frigate
430,Sunken Sabers,Frigate
431,Shadebreaker,Galleon
432,Thunderjaw,Brigantine
433,Hollowwake,Brigantine
434,Bloodgale,Brigantine
435,Cinderwake,Brigantine
436,Darkwater Serpent,Sloop
437,Deadstar Corsair,Barque
438,The Ashen Revenant,Galleon
439,Phantom’s Oath,Frigate
440,Darkmoon Marauder,Barque
441,Silent Revenant,Barque
442,Serpent’s Bane,Brigantine
443,Ghosttide,Barque
444,Silent Torrent,Frigate
445,Shadebreaker,Sloop
446,Bitter Current,Galleon
447,Voodoo Pearl,Frigate
448,The Siren’s Blight,Frigate
449,Burning Marlin,Frigate
450,Black Siren,Frigate
451,Sunken Fury,Brigantine
452,Ebon Mariner,Galleon
453,Redwake,Barque
454,Phantom’s Wake,Sloop
455,Grimdrift,Frigate
456,Grim Haven,Frigate
457,Lantern’s Curse,Frigate
458,Sunken Eclipse,Sloop
459,Darkwater Serpent,Galleon
460,Ironfang Warden,Barque
461,Thunder Serpent,Sloop
462,The Gallows Ghost,Frigate
463,Ghostwake,Sloop
464,Pale Shark,Sloop
465,Rotten Jewel,Sloop
466,Night's Embrace,Galleon
467,The Silent Kraken,Barque
468,Frostfang,Brigantine
469,Stormborn Revenant,Barque
470,Iron Blood,Barque
471,Bonegale,Barque
472,Stormbreaker,Galleon
473,Black Sail’s Oath,Frigate
474,Frost Siren,Barque
475,Broken Compass,Brigantine
476,Red Skull Warden,Sloop
477,Riptide Raider,Sloop
478,Stormchaser,Frigate
479,Wailing Widow,Sloop
480,Broken Compass,Frigate
481,Abyssal Fang,Brigantine
482,Bonegale,Brigantine
483,Iron Blood,Brigantine
484,Ebon Mariner,Sloop
485,The Crimson Reaper,Barque
486,The Drowned Maiden,Frigate
487,Red Leviathan,Sloop
488,Death Shark,Galleon
489,Pale Lantern,Frigate
490,Bloodmoon Brig,Barque
491,The Coral Phantom,Galleon
492,Bloodwhale,Frigate
493,The Grim Albatross,Galleon
494,Abysswatcher,Sloop
495,Serpent’s Bane,Galleon
496,Thundertide,Frigate
497,Shadeclaw Raider,Galleon
498,Red Leviathan,Brigantine
499,Bloodwhale,Frigate
500,Bloodwhale,Frigate
