Iid,Sid,Date
86,378,1709-06-30
58,382,1708-05-18
35,191,1655-04-11
62,123,1778-12-19
15,403,1675-02-20
26,32,1642-08-28
82,209,1620-12-31
73,141,1662-11-10
64,273,1666-04-30
9,354,1606-08-07
70,392,1658-10-10
97,164,1651-05-20
30,380,1703-11-30
50,30,1716-07-17
24,233,1796-07-12
59,335,1796-04-10
14,278,1663-10-31
41,87,1688-02-20
72,208,1601-06-02
22,493,1668-05-26
82,36,1673-12-26
25,389,1778-07-24
7,413,1702-04-19
52,457,1714-09-18
4,305,1641-05-15
89,180,1647-09-20
58,127,1736-06-27
28,298,1627-12-28
62,284,1601-04-25
76,257,1785-11-21
90,407,1661-01-30
74,397,1628-12-24
95,299,1634-09-05
45,88,1661-09-12
57,19,1703-07-30
37,118,1721-07-07
38,398,1788-06-04
8,81,1695-10-20
54,438,1705-09-03
69,214,1628-12-12
39,456,1614-10-27
74,449,1628-10-07
1,470,1747-10-06
13,327,1610-01-04
92,254,1719-03-19
52,401,1753-12-18
78,194,1728-04-19
9,308,1653-08-15
32,176,1714-06-19
80,297,1730-11-27
70,442,1757-09-17
91,477,1626-07-29
44,325,1652-07-16
53,393,1712-09-27
99,405,1670-11-24
83,335,1615-03-18
88,407,1666-04-28
20,151,1725-10-12
6,146,1772-05-08
47,481,1761-03-21
90,113,1654-09-14
7,120,1606-07-27
24,357,1733-11-08
94,100,1712-03-08
34,356,1797-08-29
39,233,1725-02-02
36,199,1678-12-04
98,304,1704-09-25
64,150,1709-03-14
3,101,1623-07-19
75,41,1756-04-16
2,180,1651-11-17
2,471,1604-09-08
80,236,1778-01-23
40,230,1698-06-02
85,480,1682-01-26
97,107,1626-08-29
69,315,1731-05-30
1,340,1626-05-29
38,234,1742-01-25
83,197,1750-10-10
24,451,1678-11-01
42,162,1658-05-27
19,407,1614-09-09
13,169,1664-04-07
43,444,1742-09-27
49,219,1603-12-03
90,65,1786-12-29
5,184,1721-03-09
53,67,1679-04-15
45,307,1741-07-19
12,62,1664-03-31
18,93,1733-07-18
21,372,1732-11-23
39,472,1624-12-17
59,400,1726-08-17
81,91,1622-11-07
16,430,1708-07-15
74,94,1750-04-20
79,163,1685-09-28
68,292,1656-04-30
82,403,1745-04-12
3,399,1723-09-02
22,60,1682-10-14
59,419,1705-08-08
21,303,1749-06-30
70,71,1737-10-25
13,252,1795-01-16
79,160,1690-05-26
71,263,1778-02-24
47,454,1771-08-07
89,140,1666-09-25
32,476,1734-07-22
39,113,1738-03-30
48,278,1712-07-29
91,422,1666-03-29
29,382,1605-11-04
11,493,1707-12-26
97,346,1690-07-13
66,424,1652-02-06
16,285,1607-12-12
99,461,1615-09-07
93,488,1642-07-30
76,37,1619-02-19
1,486,1671-12-03
12,413,1618-09-10
84,329,1730-10-28
19,55,1673-01-14
24,203,1710-05-19
3,64,1670-04-09
81,271,1726-09-02
5,282,1638-02-26
54,477,1750-03-12
38,49,1684-04-21
69,443,1627-10-18
79,279,1704-07-10
59,97,1629-04-03
81,133,1669-02-01
44,129,1668-05-22
23,47,1646-09-03
70,35,1757-03-05
71,105,1711-06-15
28,351,1702-01-09
2,337,1651-05-05
37,291,1685-03-25
49,54,1729-12-29
87,74,1734-08-31
41,492,1621-03-26
61,53,1717-03-22
38,358,1743-09-15
4,318,1604-08-01
45,24,1706-10-16
46,27,1728-03-19
26,430,1746-01-15
29,301,1646-03-03
89,295,1635-07-26
63,386,1721-10-12
62,146,1799-09-25
65,91,1747-03-07
92,315,1627-04-03
17,204,1652-01-15
30,453,1724-03-22
9,212,1652-09-22
24,433,1603-09-29
91,426,1789-08-13
55,174,1709-02-21
58,128,1783-10-25
1,435,1678-12-27
23,341,1625-02-10
77,14,1725-09-16
70,350,1733-12-29
3,412,1672-12-22
44,153,1711-01-18
21,24,1697-01-16
95,423,1731-01-28
46,399,1609-03-26
42,184,1681-09-14
11,405,1646-04-03
75,171,1645-07-05
52,408,1690-12-16
30,407,1622-01-11
87,218,1720-01-30
27,429,1770-04-26
37,455,1633-08-22
39,387,1626-04-11
13,496,1791-10-14
24,273,1727-09-14
74,474,1686-01-25
34,304,1703-10-16
48,367,1782-02-24
16,198,1781-02-08
6,347,1799-03-10
61,291,1702-11-22
98,432,1622-12-27
67,113,1749-05-13
26,482,1760-04-02
41,376,1632-12-07
25,297,1754-01-02
30,152,1700-10-06
9,263,1618-07-20
87,15,1743-10-03
35,279,1669-08-20
92,128,1751-01-02
14,321,1682-04-13
54,364,1613-10-25
24,415,1716-01-12
96,367,1631-08-07
12,78,1716-08-20
51,266,1797-01-03
63,139,1641-07-01
59,393,1725-04-24
88,112,1639-01-18
95,452,1710-07-20
68,252,1605-10-28
26,10,1745-06-08
17,166,1746-07-16
93,198,1763-09-15
31,464,1643-01-14
45,444,1764-10-18
71,59,1641-07-02
61,187,1602-06-01
4,93,1695-12-21
11,18,1609-02-25
55,306,1716-11-09
77,358,1750-01-06
60,270,1736-08-23
78,76,1688-09-05
14,294,1798-11-07
28,191,1795-02-24
79,123,1727-12-13
22,443,1763-08-23
27,497,1733-09-22
82,447,1695-09-09
68,430,1726-03-04
31,465,1757-02-28
30,28,1699-07-07
1,110,1617-12-23
98,249,1637-08-05
11,160,1721-11-01
80,25,1620-10-03
21,405,1645-01-07
23,459,1757-06-04
81,248,1690-04-04
40,240,1700-11-03
15,415,1782-01-24
56,340,1736-07-14
33,133,1766-03-13
48,140,1645-04-19
35,126,1737-02-02
78,51,1767-10-23
49,357,1783-10-13
7,292,1628-01-04
20,407,1777-04-18
37,337,1616-10-23
64,458,1792-07-15
58,349,1621-06-17
29,121,1612-06-19
39,496,1684-02-24
16,352,1725-01-28
78,67,1746-12-28
86,215,1676-02-24
83,315,1652-05-17
32,356,1625-09-20
98,136,1640-08-07
89,293,1708-02-12
25,359,1608-12-30
82,362,1675-01-15
5,19,1670-03-14
57,148,1600-03-28
85,60,1650-08-29
73,18,1650-06-01
87,132,1787-12-29
40,328,1639-03-15
61,256,1738-03-19
51,443,1725-12-14
65,77,1736-11-27
38,179,1718-08-26
50,70,1784-03-30
74,424,1630-10-13
88,226,1721-11-01
99,145,1770-09-06
1,298,1787-04-17
35,97,1648-04-13
90,452,1637-04-15
23,249,1776-02-21
21,299,1728-06-10
9,373,1628-09-21
66,407,1668-12-09
44,277,1689-02-28
5,257,1725-06-07
36,184,1655-11-25
24,191,1791-12-14
31,324,1691-06-03
16,298,1684-07-06
90,318,1703-08-15
13,456,1679-07-02
72,202,1723-01-06
17,278,1710-12-31
21,306,1660-03-15
48,413,1789-02-19
71,236,1729-01-12
67,293,1655-07-16
23,410,1675-01-02
94,152,1629-10-27
42,320,1770-01-30
81,367,1661-05-05
98,380,1790-02-18
83,301,1798-12-03
50,408,1623-04-03
58,332,1693-01-06
19,187,1689-12-10
1,35,1610-02-18
64,280,1655-05-04
6,42,1752-09-11
53,238,1749-06-08
77,121,1709-01-01
32,21,1773-06-06
82,107,1778-11-21
9,173,1692-04-23
62,266,1648-11-01
26,142,1770-10-01
33,33,1755-04-05
89,39,1651-04-01
49,423,1691-11-04
60,145,1795-01-11
59,123,1725-10-31
